*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BusBoard
*Date=23:02:02
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
326;;;90.7161;-18.8342;0;Bottom;Copper Fill235
327;;;263.385;-18.8342;0;Bottom;Copper Fill90
328;;;105.905;-20.3328;0;Bottom;Copper Fill232
329;;;72.9361;-18.8342;0;Bottom;Copper Fill237
330;;;169.469;-38.57;0;Bottom;Copper Fill182
331;;;90.7161;-18.8342;0;Bottom;Copper Fill137
332;;;11.9761;-20.3328;0;Bottom;Copper Fill157
333;;;313.007;-32.7983;0;Bottom;TXT2
334;;THT;279.964;-9.487;-90;Bottom;J15
335;;;11.2014;-19.5835;0;Bottom;Copper Fill159
336;;;161.849;-42.3292;0;Bottom;Copper Fill2
337;;;92.0264;-15.7802;0;Bottom;TXT5
338;;;83.1143;-47.46;0;Bottom;Hole3
339;;db9;36.4645;-43.37;0;Bottom;X1
340;;;198.615;-33.9472;0;Bottom;Copper Fill95
